id,name,description,effect,requirement,type,weapon_type,buy_price,sell_price,market_value,circulation,image,tradeable
562,Sweater,"Never attractive, but always seems to be under the tree on Christmas morning. Hopefully it at least protects you from the cold.",,,Clothing,,0,25,215,1687304,https://www.torn.com/images/items/562/large.png,TRUE
563,Gift Card,The perfect gift for when you just don't know what to get someone. Takes a bit of time and stress off the shopping list. Lowers current bank investment time by a small amount.,Reduces bank investment duration by 6 hours and increases booster cooldown by 6 hours.,,Booster,,0,0,2906600,37850,https://www.torn.com/images/items/563/large.png,TRUE
564,Glasses,A pair of high quality designer spectacles. Soft adjustable nose pads and plastic arm tips help to create a comfortable fit. These frames also make very cool sunglasses for men and women.,Improves Search for cash crime exp & skill gains by 5%.,,Enhancer,,0,0,13373,381722,https://www.torn.com/images/items/564/large.png,TRUE
565,High-Speed Drive,This state-of-the-art DVD drive can burn DVDs faster than any other device on the market. Perfect for creating large volumes of high quality backups.,Improves Bootlegging crime exp & skill gains by 5% and copying speed by 100%.,,Enhancer,,0,0,253451,184455,https://www.torn.com/images/items/565/large.png,TRUE
566,Mountain Bike,"The Mountain Bike is a high spec bicycle created for off-road cycling. This high-performance bike has an aluminium dual suspension frame, alloy linear pull brakes and 24 speed gears.  Perfect for quick  shopping runs in the city.",Improves Shoplifting crime exp & skill gains by 5%.,,Enhancer,,0,0,92701,188633,https://www.torn.com/images/items/566/large.png,TRUE
567,Cut-Throat Razor,"The Cut-Throat Razor is a razor with a blade that can fold into its handle.  Once widely used, it has since been replaced by modern safety razors. However it is still a popular tool with pickpockets who use it to open victim's pockets and cut bag straps unnoticed.","Improves Pickpocketing crime exp & skill gains by 5%.
Required by the Pickpocket role during the Gone Fission scenario.",,Enhancer,,0,0,22370,312000,https://www.torn.com/images/items/567/large.png,TRUE
568,Jemmy,The Jemmy is a tool used for forcing entry. It is smaller and lighter than an ordinary crowbar making it easy to conceal. It can pop windows and doors with the minimum of effort.,"Improves success rate for the Larceny crime.
Unlocks additional outcomes for certain targets in Burglary.
Required by the Looter roles during the Mob Mentality scenario.
Required by the Robber role during the Bidding War scenario.
Required by the Cat Burglar role during the Stacking the Deck scenario.",,Tool,,0,0,11346,590524,https://www.torn.com/images/items/568/large.png,TRUE
569,Balaclava,The Balaclava is a warm hat that covers the whole head. It has two eye holes for improved vision and a convenient mouth hole for barking orders at bank and convenience store staff.,Improves success rate for the Armed Robbery crime in Crimes 1.0.,,Enhancer,,0,0,3958889,73845,https://www.torn.com/images/items/569/large.png,TRUE
570,Advanced Driving Manual,"The Advanced Driving Manual is a special textbook used in training the FBI, MI5 and other government security departments. It details tried and tested methods for evading pursuers on public roads. This book is not available to the public.",Improves success rate for the Transporting Drugs crime in Crimes 1.0.,,Enhancer,,0,0,124708,122638,https://www.torn.com/images/items/570/large.png,TRUE
571,Ergonomic Keyboard,"This healthier alternative for standard keyboards greatly increases typing speed and lets you work for longer, more comfortably. It has been expertly crafted to allow you to work in a more natural position.",Improves Scamming crime exp & skill gains by 5%.,,Enhancer,,0,0,453450,120846,https://www.torn.com/images/items/571/large.png,TRUE
572,Tracking Device,"The Tracking Device is a kit that comprises a discreet, magnetic tracker and handheld GPS mapping system. It can track anyone or anything anywhere in the world to within 1 meter.",Improves success rate for the Assassination crime in Crimes 1.0.,,Enhancer,,0,0,128427,135440,https://www.torn.com/images/items/572/large.png,TRUE
573,Screwdriver,"A strong flat-head screwdriver. With corrosion resistant, high grade chrome plated steel bars, the chance of tip breakage while shoving it in to a car ignition is extremely low.",Improves success rate for the Grand Theft Auto crime in Crimes 1.0.,,Enhancer,,0,0,1887125,73937,https://www.torn.com/images/items/573/large.png,TRUE
574,Fanny Pack,"Problem solved! The bum bag is both comfortable and very fashionable to wear, while also keeping your personal belongings 100% secure as they are kept as close to you as possible. Perfect for storing and retrieving things on the fly!",Improves success rate for the Robbing The Pawn Shop crime in Crimes 1.0.,,Enhancer,,0,0,105076,123837,https://www.torn.com/images/items/574/large.png,TRUE
575,Tumble Dryer,"A condenser tumble dryer with a 10 kg capacity load. Use to dry clothes, or to make money, casino chips and credit cards look old and used - more realistic!",Improves success rate for the Counterfeiting crime in Crimes 1.0.,,Enhancer,,0,0,177160,125857,https://www.torn.com/images/items/575/large.png,TRUE
576,Chloroform,"Made by creating a chain reaction involving highly reactive chemicals, this strong smelling substance is sure to keep your kidnap victims quiet while you negotiate ransoms.","Improves success rate for the Kidnapping crime in Crimes 1.0.
Used by the Engineer role during the No Reserve scenario.
Used by the Assassin role during the Clinical Precision scenario.",,Enhancer,,0,0,4236420,130032,https://www.torn.com/images/items/576/large.png,TRUE
577,Heavy Duty Padlock,"This weatherproof high security padlock is great for securing the back of big rigs to prevent the cargo from being stolen, the cops won't even bother with it if they stop you!",Improves success rate for the Arms Trafficking crime in Crimes 1.0.,,Enhancer,,0,0,1411867,73831,https://www.torn.com/images/items/577/large.png,TRUE
578,Duct Tape,"Bonds on rough and uneven surfaces with a strong bite, is 100% waterproof, has strong reinforced backing, a rugged all-weather shell, double-thick adhesive and is perfect for affixing anything to anything!",Improves Card Skimming crime exp & skill gains by 5%.,,Enhancer,,0,0,785629,125476,https://www.torn.com/images/items/578/large.png,TRUE
579,Wireless Dongle,Access the internet nearly anywhere! A very useful tool for getting close to unsecure networks and bank mainframes.,"Improves success rate for the Hacking crime in Crimes 1.0.
Required by the Techie role during the Sneaky Git Grab scenario.",,Enhancer,,0,0,419371,126231,https://www.torn.com/images/items/579/large.png,TRUE
580,Horse's Head,Go 'Godfather' on them... Place this horse's head in a parcel to give the recipient an awful surprise.,"Can be hidden inside a parcel to zero someone's energy, nerve and happiness upon opening.",,Special,,0,0,1581253,41881,https://www.torn.com/images/items/580/large.png,TRUE
581,Book,Make someone feel schooled. Punish them severely by throwing the book at them.,"Opponent becomes undignified, reducing their respectability.",,Temporary,Temporary,0,20,0,9859,https://www.torn.com/images/items/581/large.png,TRUE
582,Tin Foil Hat,"Designed for the paranoid of mind, this hat keeps out all of those unwanted radio signals and mind reading devices that stalk your every move.",,,Clothing,,0,0,0,50,https://www.torn.com/images/items/582/large.png,FALSE
583,Brown Easter Egg,"Kids today don't know the meaning of hard work. I do. My father beat it into me when I was a child. And I was grateful for it. 28 hours a day, 9 days a week he slaved away down at the hard labor factory. Did he ever complain? I never heard it. And I won't hear it from you. My old man had the grindset mentality, and I'll teach it to you, too. He never took time off. He never did bare minimum mondays. He even asked his boss to reduce his wage so he could truly feel he earned it. Anyway, enough chatter. Let's get to work.",Permanently increases all working stats by 1% and booster cooldown by 6 hours.,,Booster,,0,0,0,13782,https://www.torn.com/images/items/583/large.png,FALSE
584,Orange Easter Egg,,,,Booster,,0,0,0,0,https://www.torn.com/images/items/584/large.png,FALSE
585,Pink Easter Egg,,,,Booster,,0,0,0,0,https://www.torn.com/images/items/585/large.png,FALSE
586,Jawbreaker,This colossal 3 inch jawstopper has 15 different flavoured layers of tooth rotting goodness. Provides a large happiness increase when consumed.,Increases happiness by 150 and booster cooldown by 30 minutes.,,Candy,,0,55,301691,181067,https://www.torn.com/images/items/586/large.png,TRUE
587,Bag of Sherbet,This bag of sherbet provides you with that mouth tingling fizz that you've always been waiting for. Provides a large happiness increase when consumed.,Increases happiness by 150 and booster cooldown by 30 minutes.,,Candy,,0,45,301437,173621,https://www.torn.com/images/items/587/large.png,TRUE
588,Goodie Bag,An exquisite mix of Torn's hidden desires. Ranging from delicious bags of candy to revitalizing cans of energy drinks.,"Provides an assortment of 30 items made up of Candy, Alcohol and Energy Drinks when opened.",,Supply Pack,,0,0,26508251,21647,https://www.torn.com/images/items/588/large.png,TRUE
589,Undefined,,,,Unused,,0,500,0,0,https://www.torn.com/images/items/589/large.png,TRUE
590,Undefined 2,,,,Unused,,0,700,0,0,https://www.torn.com/images/items/590/large.png,TRUE
591,Undefined 3,,,,Unused,,0,600,0,0,https://www.torn.com/images/items/591/large.png,TRUE
592,Undefined 4,,,,Unused,,0,0,0,0,https://www.torn.com/images/items/592/large.png,TRUE
593,Mr Torn Crown '11,Awarded to Driving [1497275] for winning the Mr Torn City awards 2011!,,,Collectible,,0,0,0,1,https://www.torn.com/images/items/593/large.png,TRUE
594,Ms Torn Crown '11,Awarded to Kimmy [995567] for winning the Miss Torn City awards 2011!,,,Collectible,,0,0,0,1,https://www.torn.com/images/items/594/large.png,TRUE
595,Pile of Vomit,A huge pile of vomit created by all the scared residents of Torn during Halloween.,,,Other,,0,0,0,8171,https://www.torn.com/images/items/595/large.png,TRUE
596,Rusty Dog Tag,A rusty dog tag from a long gone citizen of Torn. Not as good as a normal tag... obviously.,,,Collectible,,0,0,0,2229,https://www.torn.com/images/items/596/large.png,TRUE
597,Gold Nugget,"A gold nugget, the size of a golf ball.",,,Collectible,,0,0,0,5205,https://www.torn.com/images/items/597/large.png,TRUE
598,Witch's Hat,A weird looking witch hat found in Halloween Town.,,,Clothing,,0,75,0,1393,https://www.torn.com/images/items/598/large.png,TRUE
599,Golden Broomstick,A broom used to smuggle gold out of Halloween Town.,,,Melee,Clubbing,0,0,0,3417,https://www.torn.com/images/items/599/large.png,TRUE
600,Devil's Pitchfork,A three pronged fork of sorcery.,,,Melee,Piercing,0,0,0,1541,https://www.torn.com/images/items/600/large.png,TRUE
601,Christmas Lights,"Christmas tree lights with red, green and blue sparkling LEDs.",,,Other,,0,60,11815,88827,https://www.torn.com/images/items/601/large.png,TRUE
602,Gingerbread Man,"A soft gingerbread cookie, carefully shaped in to a figure.",,,Other,,0,0,124839,28325,https://www.torn.com/images/items/602/large.png,TRUE
603,Golden Wreath,Only a true carnival gamer will walk away with this number one prize.,,,Other,,0,300,22783,84661,https://www.torn.com/images/items/603/large.png,TRUE
604,Pair of Ice Skates,Elegantly glide your way over frozen lakes with these professional grade ice skates.,,,Melee,Slashing,0,0,332,81759,https://www.torn.com/images/items/604/large.png,TRUE
605,Diamond Icicle,This sharp diamond encrusted icicle will really touch the heart of your worst enemy.,,,Melee,Piercing,0,0,81016,26280,https://www.torn.com/images/items/605/large.png,TRUE
606,Santa Boots,A pair of Santa's boots from Christmas Town.,,,Clothing,,0,80,385328,25729,https://www.torn.com/images/items/606/large.png,TRUE
607,Santa Gloves,A pair of Santa's gloves from Christmas Town.,,,Clothing,,0,30,311467,25751,https://www.torn.com/images/items/607/large.png,TRUE
608,Santa Hat,"Santa's soft warm hat, found in Christmas Town.",,,Clothing,,0,60,918332,22111,https://www.torn.com/images/items/608/large.png,TRUE
609,Santa Jacket,"Santa's cozy jacket, found in Christmas Town.",,,Clothing,,0,120,481286,24068,https://www.torn.com/images/items/609/large.png,TRUE
610,Santa Trousers,"Santa's red trousers, found in Christmas Town.",,,Clothing,,0,70,331838,27042,https://www.torn.com/images/items/610/large.png,TRUE
611,Snowball,A snowball carefully rounded and crunched up as tight as possible for maximum effect. A sensible owner would keep it in the freezer.,"Opponent becomes Christmassy, increasing their goodwill.",,Temporary,Temporary,0,0,9942,1298656,https://www.torn.com/images/items/611/large.png,TRUE
612,Tavor TAR-21,"The Tavor TAR-21 is a gas operated, selective fire, magazine fed assault rifle of bullpup configuration.",,,Primary,Rifle,495000,350000,357501,98527,https://www.torn.com/images/items/612/large.png,TRUE
613,Harpoon,Originally used to catch fish and large marine mammals. When fired the spear can penetrate through most armor worn by humans.,,,Secondary,Piercing,300000,200000,198370,53941,https://www.torn.com/images/items/613/large.png,TRUE
614,Diamond Bladed Knife,A saw blade which has diamonds fixed on the blade's base to cut hard or abrasive materials. This weapon is so sharp it will literally cut through anything.,,,Melee,Piercing,950000,800000,883733,206926,https://www.torn.com/images/items/614/large.png,TRUE
615,Naval Cutlass,The 1860 Naval cutlass has a 27" sharpened steel blade. It can slice any enemy open like butter!,,,Melee,Slashing,50000000,40000000,0,4844,https://www.torn.com/images/items/615/large.png,TRUE
616,Trout,This 22 inch prize trout will make a fantastic feast. Alternatively you could express your disappointment or disgust with someone by bludgeoning them with it.,,,Temporary,Temporary,3,2,5217,1743280,https://www.torn.com/images/items/616/large.png,TRUE
617,Banana Orchid,"The national flower of the Cayman Islands, the Wild Banana Orchid is one of many species on the islands but certainly the most unique and recognizable.",,,Flower,,4000,3000,9209,5060071,https://www.torn.com/images/items/617/large.png,TRUE
618,Stingray Plushie,"A cuddly stingray plushie, one of the Cayman Islands' most famous inhabitants.",,,Plushie,,400,300,7049,8320190,https://www.torn.com/images/items/618/large.png,TRUE
619,Steel Drum,55 gallons of musical steel to calypso the night away - musical talent not included!,,,Other,,1500,1000,2236,290516,https://www.torn.com/images/items/619/large.png,TRUE
620,Nodding Turtle,"Duuuuuude, this tiny nodding turtle will agree with everything you say.",,,Other,,750,500,2385,2260337,https://www.torn.com/images/items/620/large.png,TRUE
621,Snorkel,A pair of reef exploring goggles with snorkel. Make sure you're properly equipped before heading out to the ocean!,,,Clothing,,20000,15000,14496,213641,https://www.torn.com/images/items/621/large.png,TRUE
622,Flippers,"A pair of diving flippers more than suitable for snorkelling. If you're looking for underwater speed, you've got it!",,,Clothing,,10000,7500,7442,213263,https://www.torn.com/images/items/622/large.png,TRUE
623,Speedo,"Although not so visually appealing, it's important to be streamlined when snorkelling.",,,Clothing,,6000,4000,3870,895745,https://www.torn.com/images/items/623/large.png,TRUE
624,Bikini,"The most popular female beachwear around the globe. Perfect for snorkelling, and perhaps in some cases, cross dressing.",,,Clothing,,8000,6000,5104,1146756,https://www.torn.com/images/items/624/large.png,TRUE
625,Wetsuit,"For more advanced snorkellers, this suit will provide buoyancy in water and keep the cold out.",,,Clothing,,30000,20000,19380,185713,https://www.torn.com/images/items/625/large.png,TRUE
626,Diving Gloves,These thick diving gloves will protect your hands from harsh rocks and cold water.,,,Clothing,,5000,3000,3002,299769,https://www.torn.com/images/items/626/large.png,TRUE
627,Dog Poop,"Fresh dog poop in a paper bag, the apparatus of a traditional practical joke. Place on your victim's doorstep and set the bag alight! Watch them fly out of their home to try to stomp the flames out. Perfect for April Fools' day.",Decreases the target's happiness by 20% if successfully used on their property.,,Special,,0,0,1286917,118200,https://www.torn.com/images/items/627/large.png,TRUE
628,Stink Bombs,A pack of disgustingly smelly stink bombs. Break these little glass vials and put them through your victim's letter box to really spoil their day. A great prank for April Fools'.,Decreases occupant's happiness by 20% if successfully used on their property.,,Special,,0,0,1160048,104486,https://www.torn.com/images/items/628/large.png,TRUE
629,Toilet Paper,This budget toilet roll paper serves little use other than spoiling someone's home and garden. Throw the rolls over your victim's property to give them an unpleasant morning surprise. Perfect for April Fools' day.,Decreases occupant's happiness by 20% if successfully used on their property.,,Special,,0,0,1153070,107789,https://www.torn.com/images/items/629/large.png,TRUE
630,Mr Torn Crown '12,Awarded to scony [429271] for winning the Mr Torn City awards 2012!,,,Collectible,,0,0,0,1,https://www.torn.com/images/items/630/large.png,TRUE
631,Ms Torn Crown '12,Awarded to JoNeSyGaLL [1263544] for winning the Miss Torn City awards 2012!,,,Collectible,,0,0,0,1,https://www.torn.com/images/items/631/large.png,TRUE
632,Petrified Humerus,The perfect weapon for any enemy you have a bone to pick with.,,,Melee,Clubbing,0,0,130222221,3560,https://www.torn.com/images/items/632/large.png,TRUE
633,Latex Gloves,Protect your iron fists from injuries with a pair of latex gloves.,Improves Disposal crime exp & skill gains by 5%.,,Enhancer,,0,0,406090,80613,https://www.torn.com/images/items/633/large.png,TRUE
634,Bag of Bloody Eyeballs,Eye Candy Halloween style. Provides a moderate happiness increase when consumed.,Increases happiness by 75 and booster cooldown by 30 minutes.,,Candy,,0,5,59644,1411173,https://www.torn.com/images/items/634/large.png,TRUE
635,Straitjacket,"If the jacket fits, wear it. It will only restrain your body; your mind is free to go!",,,Clothing,,0,200,0,3200,https://www.torn.com/images/items/635/large.png,TRUE
636,Cinnamon Decoration,"A home-made Christmas tree decoration, giving off a lovely whiff of cinnamon.",,,Other,,0,15,41198,28846,https://www.torn.com/images/items/636/large.png,TRUE
637,Christmas Express,All aboard!,,,Other,,0,35,125760,25276,https://www.torn.com/images/items/637/large.png,TRUE
638,Bottle of Christmas Cocktail,Torn's liquefied way of wishing you a Merry Christmas and a very Happy New Year. Provides a large nerve increase when consumed.,Increases nerve by 3 and booster cooldown by 1 hour.,,Alcohol,,0,0,122957,948655,https://www.torn.com/images/items/638/large.png,TRUE
639,Golden Candy Cane,"A solid gold Candy Cane, not suited for consumption.",,,Other,,0,35000,173473,25337,https://www.torn.com/images/items/639/large.png,TRUE
640,Kevlar Gloves,"These gloves can protect you from cuts and extreme temperatures, providing light-weight dexterity and comfort.",,,Defensive,,400000,320000,319234,131138,https://www.torn.com/images/items/640/large.png,TRUE
641,WWII Helmet,"The Stahlhelm (""steel helmet""), with its distinctive ""coal scuttle"" shape, was an instantly-recognizable military icon and became a common element of military propaganda as well as protecting many skulls from shrapnel.",,,Defensive,,89500,71000,70737,180600,https://www.torn.com/images/items/641/large.png,TRUE
642,Motorcycle Helmet,"What would be more embarrassing than suffering a crash because you got a bug in your eye? And if you get mugged, the helmet can protect you from blunt instruments and pepper spray.",Immunity to Pepper Spray.,,Defensive,,0,0,48000000,21187,https://www.torn.com/images/items/642/large.png,TRUE
643,Construction Helmet,"Protects you from tools and other object dropped by fellow-workers above you, and from muggers trying to crack your skull. Also gives you license to whistle at likely-looking passers-by.",Required by the Imitator role during the Gaslight the Way scenario.,,Defensive,,14000,11500,10370,417064,https://www.torn.com/images/items/643/large.png,TRUE
644,Welding Helmet,"Designed to protect your eyes, head, and neck from flash burn while welding, this sturdy helmet can also deflect attacks from blunt instruments and pepper spray.",Immunity to Flash Grenades and Pepper Spray.,,Defensive,,0,0,711122223,635,https://www.torn.com/images/items/644/large.png,TRUE
645,Safety Boots,"These steel-toed boots protect your feet from heavy, sharp, or hot objects; provide extra power for your kick; and gain you respect among the street-wise.",,,Defensive,,77000,58000,56191,377102,https://www.torn.com/images/items/645/large.png,TRUE
646,Hiking Boots,These boots will support you along difficult trails and up rocky scrambles. They also provide moderate protection against both gunfire and blade attacks.,,,Defensive,,6700,4200,4132,150502,https://www.torn.com/images/items/646/large.png,TRUE
647,Leather Helmet,"This helmet keeps the sun out of your eyes, the dust off your neck, and your brains more or less in place if someone swats you with a baseball bat.",,,Defensive,,1250,900,681,660777,https://www.torn.com/images/items/647/large.png,TRUE
648,Leather Pants,"These pants can deflect some knife thrusts, and reduce injuries from motorcycle accidents or rug burn.",,,Defensive,,1100,850,838,554534,https://www.torn.com/images/items/648/large.png,TRUE
649,Leather Boots,"These boots make a style and a safety statement at the same time, offering both eye appeal and modest protection against attacks.",,,Defensive,,900,720,595,569152,https://www.torn.com/images/items/649/large.png,TRUE
650,Leather Gloves,"These gloves protect your hands from extremes of heat and cold, and from some weapons; however, it sure is hard to pick up a coin while wearing them!",,,Defensive,,750,600,392,1813463,https://www.torn.com/images/items/650/large.png,TRUE
651,Combat Helmet,This helmet cradles the wearer's head and provides protection against both concussion and shrapnel. You can also fill it with water and boil eggs for your supper.,,,Defensive,,3100000,2600000,3337479,132457,https://www.torn.com/images/items/651/large.png,TRUE
652,Combat Pants,"These pants are camouflaged, so you may have trouble finding them in your closet. However, once on they provide added protection against cuts and abrasions and have many handy pockets.",,,Defensive,,2950000,2450000,3115194,161390,https://www.torn.com/images/items/652/large.png,TRUE
653,Combat Boots,These boots will keep you well-attached to the surface of the Earth. Their weight is largely made up of protective layers in the sole and uppers to keep your feet safer even when you waltz through a minefield.,,,Defensive,,2400000,1920000,2597801,145109,https://www.torn.com/images/items/653/large.png,TRUE
654,Combat Gloves,"These reinforced gauntlets keep your hands safe in close-combat situations, although they do make it harder to text on your cell phone.",,,Defensive,,2100000,1870000,2273637,158144,https://www.torn.com/images/items/654/large.png,TRUE
655,Riot Helmet,"This helmet can protect you against thrown bricks, fire splash from incendiaries, and flowers tossed your way by pacifists.",Immunity to Pepper Spray.,,Defensive,,0,0,113915339,6005,https://www.torn.com/images/items/655/large.png,TRUE
656,Riot Body,"Although this armor for your torso will slow down your dance-floor moves, you will thank it when it deflects a knife blade or a platter of shrapnel from an explosion.",,,Defensive,,0,0,81037945,5480,https://www.torn.com/images/items/656/large.png,TRUE
657,Riot Pants,"No matter which side of the riot you're on, you'll have more fun if you don't have to worry about skinned knees or Molotov-cocktail burns.",,,Defensive,,0,0,75700000,5158,https://www.torn.com/images/items/657/large.png,TRUE
658,Riot Boots,"These boots will protect you from puncture wounds, slashes, acid, heat, and the blood of the people you stomp.",,,Defensive,,0,0,78182556,4807,https://www.torn.com/images/items/658/large.png,TRUE
659,Riot Gloves,When you wear these gloves you can't do fine-motor stuff like picking up a dime. But you can compel other people to do that stuff for you.,,,Defensive,,0,0,82860000,4793,https://www.torn.com/images/items/659/large.png,TRUE
660,Dune Helmet,"With this helmet you can deflect objects that might otherwise dent your skull, while making yourself a tougher target for your enemy to find.",,,Defensive,,0,0,72450001,3558,https://www.torn.com/images/items/660/large.png,TRUE
661,Dune Vest,About the only challenge this body armor does not help protect you from is an itchy trickle of sand down the small of your back.,,,Defensive,,0,0,77686666,4234,https://www.torn.com/images/items/661/large.png,TRUE
662,Dune Pants,Camouflaged and reinforced pants; way cool although not particularly useful for urban combat.,,,Defensive,,0,0,74753195,3676,https://www.torn.com/images/items/662/large.png,TRUE
663,Dune Boots,"These boots will help keep your feet cool, dry, dirt-free, and safe from impact wounds.",,,Defensive,,0,0,68520765,3391,https://www.torn.com/images/items/663/large.png,TRUE
664,Dune Gloves,"In addition to the protection they offer, these gloves have gecko-like grips on the pads of the fingers to help you pick up small items without putting your hand at risk.",,,Defensive,,0,0,77399999,3348,https://www.torn.com/images/items/664/large.png,TRUE
665,Assault Helmet,"You're going to attack the enemy, right? You're going head-first, right? Good idea to protect your head, don't you think?",,,Defensive,,0,0,112585715,5873,https://www.torn.com/images/items/665/large.png,TRUE
666,Assault Body,The design of this body armor presumes you are going into harm's way. It helps make sure you can come back.,,,Defensive,,0,0,266166682,6813,https://www.torn.com/images/items/666/large.png,TRUE
667,Assault Pants,"These pants protect you against stabs, abrasions, and shrapnel, and have lots of useful pockets and pouches.",,,Defensive,,0,0,193533124,6467,https://www.torn.com/images/items/667/large.png,TRUE
668,Assault Boots,"Wear these boots to walk easily over booby-traps, razor wire, and the bodies of your opponents.",,,Defensive,,0,0,135450000,6227,https://www.torn.com/images/items/668/large.png,TRUE
669,Assault Gloves,"With these gauntlets on, you hardly need a weapon beside your hands. But take one anyhow, just in case.",,,Defensive,,0,0,116000001,6275,https://www.torn.com/images/items/669/large.png,TRUE
670,Delta Gas Mask,Even the air you breathe is out to get you. This enhanced gas mask can filter out most of the toxins.,"Immunity to Nerve Gas, Tear Gas, and Pepper Spray.",,Defensive,,0,0,1628240000,675,https://www.torn.com/images/items/670/large.png,TRUE
671,Delta Body,"This body armor combines protection and flexibility, so you can move and fight with confidence.",,,Defensive,,0,0,490000000,661,https://www.torn.com/images/items/671/large.png,TRUE
672,Delta Pants,Battle on any battlefield and wade through any risk in this high-life-expectancy pair of pants.,,,Defensive,,0,0,0,681,https://www.torn.com/images/items/672/large.png,TRUE
673,Delta Boots,With these boots you can do just about anything safely except maybe walk on water.,,,Defensive,,0,0,514000000,634,https://www.torn.com/images/items/673/large.png,TRUE
674,Delta Gloves,"Damage resistant and flexible, these gloves let you deal a hand of cards in a fire-fight, if that's what you really need to do.",,,Defensive,,0,0,0,675,https://www.torn.com/images/items/674/large.png,TRUE
675,Marauder Face Mask,Kevlar layers and an impervious faceplate let this helmet protect your head in most combat conditions.,Immunity to Pepper Spray.,,Defensive,,0,0,0,537,https://www.torn.com/images/items/675/large.png,TRUE
676,Marauder Body,"The Kevlar armor in this bodysuit protects against slashes, punctures, projectile fire, and accusations of poor taste.",,,Defensive,,0,0,1333777778,490,https://www.torn.com/images/items/676/large.png,TRUE
677,Marauder Pants,Wear these pants whenever you need to slide down razor blades or roll in a pool of fire.,,,Defensive,,0,0,0,503,https://www.torn.com/images/items/677/large.png,TRUE
678,Marauder Boots,"These boots resist shock, heat, slashes, and punctures, and add force when you have to kick your way out of a situation.",,,Defensive,,0,0,1800000000,463,https://www.torn.com/images/items/678/large.png,TRUE
679,Marauder Gloves,"Ultimate finger-protectors. Kevlar is light, flexible, and really tough.",,,Defensive,,0,0,0,534,https://www.torn.com/images/items/679/large.png,TRUE
680,EOD Helmet,"Got a bomb? We have the bomb-disposal helmet for you. Rugged and impact-resistant, with a built-in mini-searchlight for helping you read the instructions you wrote on your hand.",Immunity to Concussion Grenades and Pepper Spray.,,Defensive,,0,0,0,232,https://www.torn.com/images/items/680/large.png,TRUE
681,EOD Apron,"When the bomb goes off, its impact goes everywhere. This apron shields your vital organs from blast compression and debris damage.",,,Defensive,,0,0,0,255,https://www.torn.com/images/items/681/large.png,TRUE
682,EOD Pants,"These pants are not stylish, but they will help you walk away should that bomb go off while you are disarming it.",,,Defensive,,0,0,9000000001,234,https://www.torn.com/images/items/682/large.png,TRUE
683,EOD Boots,"Sturdy and stiff, with good treads for good grip, these boots can protect your feet from powerful blasts.",,,Defensive,,0,0,0,234,https://www.torn.com/images/items/683/large.png,TRUE
684,EOD Gloves,"These must be the rarest armor elements in Torn. They'll keep your hands safe near a blast, but in order to actually deal with the bomb you're going to have to, you know, take them off and work with exposed hands.",,,Defensive,,0,0,0,214,https://www.torn.com/images/items/684/large.png,TRUE
685,Torn Bible,"In addition to a fictitious tale about Torn's saviour, this book contains all the mysteries and information about the game, written in a language only translatable by bogie. This book is said to be 100% accurate, especially when thrown at close range.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/685/large.png,TRUE
686,Friendly Bot Guide,"Caspeh can be seen lurking around the many channels of IRC, and this is your guide to all things bottish! Join and win with Caspeh during the famous Hamster give-aways or kick back and relax with some scrabble - the possibilities are endless with Caspeh's Friendly Bot Guide.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/686/large.png,TRUE
687,Egotistical Bear,"A bear created to stroke Passie's ego, so she can continue to regard herself as central to the world which revolves around her.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/687/large.png,TRUE
688,Brewery Key,"Grants the holder of the key unlimited access to the Guinness Brewery, and also the amazing alcohol tolerance of the Irish.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/688/large.png,TRUE
689,Signed Jersey,"This jersey was worn in the annual Torn Sports Tournament by RatedR and has been signed by the whole staff team. Give this framed, signed jersey a nice place on your wall!",,,Collectible,,0,0,0,21,https://www.torn.com/images/items/689/large.png,TRUE
690,Mafia Kit,"A unique kit handed down through generations of bloodshed and war to Two. Although the contents are still unknown, the kit is rumoured to contain a custom fitted bullet proof Armani suit and a matching hat. Owning this kit guarantees knowledge, power and wealth.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/690/large.png,TRUE
691,Octopus Toy,"This octopus toy was modelled after Karty's pet octopus. This little 8 tentacled beast likes hiding in dark holes and is a sucker for the ladies! Be careful though, he's known to spray his ink over your face when you're least expecting it!",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/691/large.png,TRUE
692,Bear Skin Rug,"This collectible rug is perfect for snuggling, bear skin to bare skin. You can find one on Prodi's floor near the fireplace. PETA approved as well, of course!",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/692/large.png,TRUE
693,Tractor Toy,"A toy it may seem to you, however it has run into cars, had bottles thrown at it and been crashed multiple times. Only a tractor owned by DaveO comes with this kind of history. Equipped with a mini seat for the shortest of passengers and a radio that keeps you awake after a 14 hour day.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/693/large.png,TRUE
694,Mr Torn Crown '13,Awarded to bogie [148747] for winning the Mr Torn City awards 2013!,,,Collectible,,0,0,0,1,https://www.torn.com/images/items/694/large.png,TRUE
